date,portfolio_value,spy_value,cash,n_positions,regime
2008-08-25,1006263.635722424,927199.6712099138,779177.5315905914,2,bear
2008-08-26,1005784.6378516604,929900.6999418519,779177.5315905914,2,bear
2008-08-27,1007146.8248094224,938952.2842386292,779177.5315905914,2,bear
2008-08-28,1008506.6670970457,950339.1899131613,779177.5315905914,2,bear
2008-08-29,1005208.2873946865,940120.0989419746,779177.5315905914,2,bear
2008-09-02,1006406.2988795473,934280.5633818435,779177.5315905914,2,crisis
2008-09-03,1006180.6607293166,933477.3009241716,779177.5315905914,2,crisis
2008-09-04,1004324.1505320359,905373.9729256427,779177.5315905914,2,crisis
2008-09-05,1007656.3273234346,908220.6993442758,779177.5315905914,2,crisis
2008-09-08,1011789.1028723911,926980.6626364674,779177.5315905914,2,crisis
2008-09-09,1009893.0643141512,899461.2804932282,779177.5315905914,2,crisis
2008-09-10,1009588.8865964394,903110.8073261294,779177.5315905914,2,crisis
2008-09-11,1012504.2913989143,916177.163766587,779177.5315905914,2,crisis
2008-09-12,1011524.331691341,920410.8674764798,779177.5315905914,2,crisis
2008-09-15,1009602.6950092685,876613.1571633707,779177.5315905914,2,crisis
2008-09-16,1012461.3580283182,891285.1914395987,779177.5315905914,2,crisis
2008-09-17,1005621.2715665,851210.5498678441,779177.5315905914,2,crisis
2008-09-18,1010265.7926472154,876467.3054622079,779177.5315905914,2,crisis
2008-09-19,1016729.6802689394,911275.3452946617,779177.5315905914,2,crisis
2008-09-22,1008059.2322034546,890644.2602311618,779177.5315905914,2,crisis
2008-09-23,1006180.6158231009,870380.8077026948,779177.5315905914,2,crisis
2008-09-24,1005556.3869256082,873170.9338043507,779177.5315905914,2,crisis
2008-09-25,1009203.809401611,886826.3185775409,779177.5315905914,2,crisis
2008-09-26,1009393.7573846381,887267.184992091,779177.5315905914,2,crisis
2008-09-29,1001801.0718133159,817739.4326245614,779177.5315905914,2,crisis
2008-09-30,1004607.4171527983,851585.4980901051,779177.5315905914,2,crisis
2008-10-01,1005489.0605379932,852099.6753914066,779177.5315905914,2,crisis
2008-10-02,998469.2240728687,821189.9727648515,779177.5315905914,2,crisis
2008-10-03,993958.6173427698,810104.0113607232,656868.4825052874,3,crisis
2008-10-06,983257.2433081429,768842.6113060635,656868.4825052874,3,crisis
2008-10-07,972258.2243551591,734409.0576524668,656868.4825052874,3,crisis
2008-10-08,973435.121989611,715907.5306375206,656868.4825052874,3,crisis
2008-10-09,947284.143923655,665908.8128079664,656868.4825052874,3,crisis
2008-10-10,945919.178013414,649757.0845307638,656868.4825052874,3,crisis
2008-10-13,959921.2239446152,744100.1100202352,656868.4825052874,3,crisis
2008-10-14,955729.318899785,733087.6905245602,656868.4825052874,3,crisis
2008-10-15,937327.4133665734,660916.5878433455,656868.4825052874,3,crisis
2008-10-16,951288.1205482255,688448.6761801917,656868.4825052874,3,crisis
2008-10-17,956750.3131298068,684337.5679867992,656868.4825052874,3,crisis
2008-10-20,968141.0123365214,725452.1152462541,656868.4825052874,3,crisis
2008-10-21,962392.8771014034,703793.5226597252,656868.4825052874,3,crisis
2008-10-22,954119.6120435784,665468.870480224,656868.4825052874,3,crisis
2008-10-23,955979.9012245851,673177.7566452816,656868.4825052874,3,crisis
2008-10-24,945820.2443688726,639037.7930712433,656868.4825052874,3,crisis
2008-10-27,942123.326232581,616351.1924146642,656868.4825052874,3,crisis
2008-10-28,968618.9613454047,688375.3652934403,656868.4825052874,3,crisis
2008-10-29,968329.5156642847,683383.0633215854,656868.4825052874,3,crisis
2008-10-30,974253.915644973,707023.8991180593,656868.4825052874,3,crisis
2008-10-31,982709.789027259,710915.0746511976,656868.4825052874,3,crisis
2008-11-03,984506.2724200947,712970.474733426,656868.4825052874,3,crisis
2008-11-04,991154.679733028,737198.8757251868,656868.4825052874,3,crisis
2008-11-05,978404.5068486574,706216.3242552843,656868.4825052874,3,crisis
2008-11-06,967128.6244807843,667084.1742202421,656868.4825052874,3,crisis
2008-11-07,973435.8628349655,689109.475254996,656868.4825052874,3,crisis
2008-11-10,971396.1627072825,680078.99094033,656868.4825052874,3,crisis
2008-11-11,965886.5927032344,659081.1974286053,656868.4825052874,3,crisis
2008-11-12,960064.342110327,630080.6966505627,656868.4825052874,3,crisis
2008-11-13,974827.6160028145,669359.8149916605,656868.4825052874,3,crisis
2008-11-14,962917.6073601893,635954.3464153479,656868.4825052874,3,crisis
2008-11-17,959892.5732613037,627511.3887923518,656868.4825052874,3,crisis
2008-11-18,966752.4622363715,639331.9222014397,656868.4825052874,3,crisis
2008-11-19,958138.0883092447,598363.8427010195,656868.4825052874,3,crisis
2008-11-20,947683.1313292658,553945.72360733,483163.813784861,4,crisis
2008-11-21,980179.0770731173,583826.917616814,483163.813784861,4,crisis
2008-11-24,994893.831073965,624280.8198159327,362705.8163005693,5,crisis
2008-11-25,988766.2221016623,628905.9897997758,5832.147212816857,8,crisis
2008-11-26,1017843.293804552,653207.7786855219,0.0,9,crisis
2008-11-28,1024070.3203772045,661430.765144647,0.0,9,crisis
2008-12-01,942957.4404630692,602842.4294149769,0.0,9,crisis
2008-12-02,967785.1670842803,626042.7453294535,0.0,9,crisis
2008-12-03,1008892.6218723699,641093.6551968756,0.0,9,crisis
2008-12-04,980798.0147814786,626263.0630258776,0.0,9,crisis
2008-12-05,1028410.5418964571,645572.5884433858,0.0,9,crisis
2008-12-08,1053505.2783007333,668111.9897722072,0.0,9,crisis
2008-12-09,1034138.3494637478,657098.8772114264,0.0,9,crisis
2008-12-10,1038035.6703560065,661577.3869181498,0.0,9,crisis
2008-12-11,1015881.0266584556,645645.5527975842,0.0,9,crisis
2008-12-12,1036577.2784825738,653354.4004590247,0.0,9,crisis
2008-12-15,1012428.2700281071,644250.4512431393,0.0,9,crisis
2008-12-16,1067063.288758075,674572.6656816414,0.0,9,crisis
2008-12-17,1066639.1624559085,668038.2938492859,0.0,9,crisis
2008-12-18,1039714.4534124269,655557.2693943296,0.0,9,crisis
2008-12-19,1044998.9742246041,652737.3414931225,0.0,9,crisis
2008-12-22,1023774.9687075766,644373.4317958095,0.0,9,crisis
2008-12-23,1014010.7381498194,637712.0750346167,0.0,9,crisis
2008-12-24,1019339.4803664329,641412.5806564143,0.0,9,crisis
2008-12-26,1018100.4159711448,645113.7408397008,0.0,9,crisis
2008-12-29,1008823.1028830835,643263.411021568,0.0,9,crisis
2008-12-30,1048068.1844506543,658510.4198103265,0.0,9,crisis
2008-12-31,1058904.3811013412,667909.999797471,0.0,9,crisis
2009-01-02,1093359.5421534022,688042.2319992317,0.0,9,crisis
2009-01-05,1091302.2682644448,687228.2655360362,0.0,9,crisis
2009-01-06,1110979.3919844297,691817.1266090565,0.0,9,bear
2009-01-07,1082162.977802648,671092.631770736,0.0,9,bear
2009-01-08,1086181.0471554983,673831.4710545595,0.0,9,bear
2009-01-09,1069062.8879008803,659398.6212470813,0.0,9,bear
2009-01-12,1058121.0993668803,643559.3883253799,0.0,9,bear
2009-01-13,1051851.3417798225,644743.6055695636,0.0,9,bear
2009-01-14,1018209.4456577756,624463.7890038752,0.0,9,bear
2009-01-15,1028600.5492577663,624685.723852213,0.0,9,bear
2009-01-16,1046358.0046861477,629570.3312073433,0.0,9,bear
2009-01-20,1003739.4582464331,596337.8593821725,0.0,9,bear
2009-01-21,1019353.3234714286,622095.084990189,0.0,9,bear
2009-01-22,1014271.4404852915,612472.915593218,0.0,9,bear
2009-01-23,1004619.4100241151,615137.7509251842,0.0,9,bear
2009-01-26,1000083.006522644,619356.5537353014,0.0,9,bear
2009-01-27,1018164.056790896,625647.4671974211,0.0,9,bear
2009-01-28,1042086.5388267577,646816.332279438,0.0,9,bear
2009-01-29,1014576.6697624053,625795.8216336884,0.0,10,bear
2009-01-30,994434.9653015988,613065.2167333948,0.0,10,bear
2009-02-02,998799.2387697094,611214.963922496,0.0,10,bear
2009-02-03,1027807.9018825253,619800.5774464448,0.0,10,bear
2009-02-04,1026694.4606208082,616766.1843985963,0.0,10,bear
2009-02-05,1057872.414212151,625943.48300485,0.0,10,bear
2009-02-06,1080753.7779357117,643781.2846701007,0.0,9,bear
2009-02-09,1083074.5291225624,644669.6786249403,0.0,10,bear
2009-02-10,1030494.5831703038,615137.7509251842,0.0,10,bear
2009-02-11,1035112.4604108571,618764.2525951245,0.0,10,bear
