date,regime,n_active,hedge_mtm_value,daily_cash_flow,cumulative_premium,cumulative_payoffs,vix
2008-02-26,crisis,0,0.0,0.0,0.0,0.0,21.899999618530273
2008-02-27,crisis,0,0.0,0.0,0.0,0.0,22.690000534057617
2008-02-28,crisis,0,0.0,0.0,0.0,0.0,23.530000686645508
2008-02-29,crisis,0,0.0,0.0,0.0,0.0,26.540000915527344
2008-03-03,crisis,0,0.0,0.0,0.0,0.0,26.280000686645508
2008-03-04,crisis,0,0.0,0.0,0.0,0.0,25.520000457763672
2008-03-05,crisis,0,0.0,0.0,0.0,0.0,24.600000381469727
2008-03-06,crisis,0,0.0,0.0,0.0,0.0,27.549999237060547
2008-03-07,crisis,0,0.0,0.0,0.0,0.0,27.489999771118164
2008-03-10,crisis,0,0.0,0.0,0.0,0.0,29.3799991607666
2008-03-11,crisis,0,0.0,0.0,0.0,0.0,26.360000610351562
2008-03-12,crisis,0,0.0,0.0,0.0,0.0,27.219999313354492
2008-03-13,crisis,0,0.0,0.0,0.0,0.0,27.290000915527344
2008-03-14,crisis,0,0.0,0.0,0.0,0.0,31.15999984741211
2008-03-17,crisis,0,0.0,0.0,0.0,0.0,32.2400016784668
2008-03-18,crisis,0,0.0,0.0,0.0,0.0,25.790000915527344
2008-03-19,crisis,0,0.0,0.0,0.0,0.0,29.84000015258789
2008-03-20,crisis,0,0.0,0.0,0.0,0.0,26.6200008392334
2008-03-24,crisis,0,0.0,0.0,0.0,0.0,25.729999542236328
2008-03-25,crisis,0,0.0,0.0,0.0,0.0,25.719999313354492
2008-03-26,crisis,0,0.0,0.0,0.0,0.0,26.079999923706055
2008-03-27,crisis,0,0.0,0.0,0.0,0.0,25.8799991607666
2008-03-28,crisis,0,0.0,0.0,0.0,0.0,25.709999084472656
2008-03-31,crisis,0,0.0,0.0,0.0,0.0,25.610000610351562
2008-04-01,crisis,0,0.0,0.0,0.0,0.0,22.68000030517578
2008-04-02,crisis,0,0.0,0.0,0.0,0.0,23.43000030517578
2008-04-03,crisis,0,0.0,0.0,0.0,0.0,23.209999084472656
2008-04-04,crisis,0,0.0,0.0,0.0,0.0,22.450000762939453
2008-04-07,crisis,0,0.0,0.0,0.0,0.0,22.420000076293945
2008-04-08,crisis,0,0.0,0.0,0.0,0.0,22.360000610351562
