date,action,long_strike,short_strike,expiry,contracts,net_premium,spy_price,regime,scale,long_iv,short_iv,old_expiry,close_proceeds,premium_paid,net_pnl
2009-07-14,ENTER,64.0,57.0,2009-08-13,62206.0,5520891.832856767,67.29725646972656,normal,1.0,0.280846632207633,0.3459087210622997,,,,
2009-08-10,ENTER,71.0,64.0,2009-09-09,60744.0,5403973.992332412,75.00666046142578,normal,1.0,0.28327215444795206,0.34157701167032234,,,,
2009-08-10,ROLL,,,,,,,normal,,,,2009-08-13,0.31056454989289417,,
2009-09-04,ENTER,72.0,64.0,2009-10-04,59350.0,5935974.529184133,75.80132293701172,normal,1.0,0.284268601653735,0.350916535693416,,,,
2009-09-04,ROLL,,,,,,,normal,,,,2009-09-09,140087.46384122467,,
2009-09-29,ENTER,75.0,67.0,2009-10-29,61980.0,6186738.996613859,79.10263061523438,bull,1.0,0.2845617146820105,0.3482511337764112,,,,
2009-09-29,ROLL,,,,,,,bull,,,,2009-10-04,19839.65193849694,,
2009-10-26,ENTER,76.0,68.0,2009-11-25,62184.0,6343286.922357833,79.78173065185547,bull,1.0,0.271907816957069,0.33284909741506,,,,
2009-10-26,ROLL,,,,,,,bull,,,,2009-10-29,25151.891070777336,,
2009-11-20,ENTER,78.0,69.0,2009-12-20,59965.0,5687196.153040758,81.66226959228516,bull,1.0,0.24677852059814473,0.3079175396089761,,,,
2009-11-20,ROLL,,,,,,,bull,,,,2009-11-25,39598.0914166842,,
2009-12-15,ENTER,79.0,71.0,2010-01-14,62436.0,5035483.52422082,83.0950698852539,bull,1.0,0.241376520105036,0.2931004159920334,,,,
2009-12-15,ROLL,,,,,,,bull,,,,2009-12-20,62140.86720782048,,
2010-01-11,ENTER,82.0,73.0,2010-02-10,61995.0,3500038.7257736055,86.07832336425781,bull,1.0,0.19628769601007356,0.24216160449279805,,,,
2010-01-11,ROLL,,,,,,,bull,,,,2010-01-14,6.77472909850737,,
2010-02-05,ENTER,76.0,68.0,2010-03-07,58399.0,6422431.348880661,80.02365112304688,bull,1.0,0.29392078215041706,0.35917649154114206,,,,
2010-02-05,ROLL,,,,,,,bull,,,,2010-02-10,11983796.885855772,,
2010-03-02,ENTER,80.0,72.0,2010-04-01,60737.0,3793259.142788986,84.18016815185547,bull,1.0,0.21426166227679327,0.2595454941799123,,,,
2010-03-02,ROLL,,,,,,,bull,,,,2010-03-07,306.973886110715,,
2010-03-29,ENTER,84.0,75.0,2010-04-28,59873.0,3268798.038825298,88.38397216796875,bull,1.0,0.19771227041254846,0.24249131344055141,,,,
2010-03-29,ROLL,,,,,,,bull,,,,2010-04-01,0.35404834759264264,,
2010-04-23,ENTER,87.0,78.0,2010-05-23,60247.0,2730312.727510749,91.76659393310547,bull,1.0,0.18778195626889785,0.22853210176244315,,,,
2010-04-23,ROLL,,,,,,,bull,,,,2010-04-28,224.63709706149464,,
2010-05-18,ENTER,80.0,72.0,2010-06-17,58006.0,9103768.849024232,84.67745971679688,bull,1.0,0.3818313928051851,0.4610732508543785,,,,
2010-05-18,ROLL,,,,,,,bull,,,,2010-05-23,13789497.917387618,,
2010-05-25,MONETIZE,80.0,72.0,,58006.0,,81.22710418701172,bear,,,,,3896297.4990008874,9103768.849024232,-5207471.350023345
2010-07-27,ENTER,80.0,72.0,2010-08-26,62227.0,5527544.475058163,84.43695068359375,normal,1.0,0.26236446891895043,0.3172930238962571,,,,
