date,type,aum,rate,fee,hwm,nav_pre_fee,hwm_pre,profit_above_hwm,hwm_post
2015-11-02,management,3712956.2786145434,0.0016666666666666668,6188.260464357572,3550325.286869624,,,,
2015-12-01,management,3731440.160043426,0.0016666666666666668,6219.06693340571,3550325.286869624,,,,
2016-01-04,management,3589371.507469992,0.0016666666666666668,5982.285845783321,3550325.286869624,,,,
2016-01-04,performance,,0.25,8265.983688646345,,3583389.2216242095,3550325.286869624,33063.93475458538,3575123.2379355626
2016-02-01,management,3602569.052892921,0.0016666666666666668,6004.281754821535,3575123.2379355626,,,,
2016-03-01,management,3921169.4711429635,0.0016666666666666668,6535.28245190494,3575123.2379355626,,,,
2016-04-01,management,4014513.513072237,0.0016666666666666668,6690.855855120395,3575123.2379355626,,,,
2016-04-01,performance,,0.25,108174.85482038849,,4007822.6572171166,3575123.2379355626,432699.41928155394,3899647.802396728
2016-05-02,management,3713161.9731430216,0.0016666666666666668,6188.603288571703,3899647.802396728,,,,
2016-06-01,management,3719298.1613452826,0.0016666666666666668,6198.830268908805,3899647.802396728,,,,
2016-07-01,management,3891694.892386751,0.0016666666666666668,6486.158153977918,3899647.802396728,,,,
2016-07-01,performance,,0.25,0.0,,3885208.7342327726,3899647.802396728,0.0,3899647.802396728
2016-08-01,management,4089422.3704433013,0.0016666666666666668,6815.703950738836,3899647.802396728,,,,
2016-09-01,management,4005008.8982118135,0.0016666666666666668,6675.014830353023,3899647.802396728,,,,
2016-10-03,management,4080528.6790708937,0.0016666666666666668,6800.881131784823,3899647.802396728,,,,
2016-10-03,performance,,0.25,43519.99888559512,,4073727.7979391087,3899647.802396728,174079.9955423805,4030207.7990535134
2016-11-01,management,4170005.472584782,0.0016666666666666668,6950.009120974637,4030207.7990535134,,,,
2016-12-01,management,4222501.459065556,0.0016666666666666668,7037.502431775926,4030207.7990535134,,,,
2017-01-03,management,4121139.171138826,0.0016666666666666668,6868.565285231377,4030207.7990535134,,,,
2017-01-03,performance,,0.25,21015.701700020232,,4114270.6058535944,4030207.7990535134,84062.80680008093,4093254.9041535743
2017-02-01,management,4162131.7661410472,0.0016666666666666668,6936.886276901746,4093254.9041535743,,,,
2017-03-01,management,4477634.199873427,0.0016666666666666668,7462.723666455712,4093254.9041535743,,,,
2017-04-03,management,4380857.351248601,0.0016666666666666668,7301.42891874767,4093254.9041535743,,,,
2017-04-03,performance,,0.25,70075.25454406976,,4373555.922329853,4093254.9041535743,280301.01817627903,4303480.667785784
2017-05-01,management,4290870.371491814,0.0016666666666666668,7151.450619153024,4303480.667785784,,,,
2017-06-01,management,4679238.597376999,0.0016666666666666668,7798.7309956283325,4303480.667785784,,,,
2017-07-03,management,4548121.353157403,0.0016666666666666668,7580.202255262338,4303480.667785784,,,,
2017-07-03,performance,,0.25,59265.120779089164,,4540541.150902141,4303480.667785784,237060.48311635666,4481276.030123051
